Epoch,Time (seconds),Loss,Accuracy
1,106.93,0.339454,89.1267
2,105.256,0.103867,96.9317
3,105.26,0.0734172,97.7817
4,105.101,0.0564431,98.3017
5,105.175,0.0471771,98.48
6,105.583,0.0419292,98.6633
7,105.467,0.0383644,98.7717
8,105.1,0.0343117,98.88
9,105.098,0.0297542,99.04
10,105.17,0.0310542,98.9617
11,105.138,0.0293707,99.055
12,105.151,0.0239657,99.2283
13,105.122,0.0245348,99.19
14,105.115,0.028185,99.15
15,105.138,0.0212133,99.3017
16,105.133,0.0227994,99.2717
17,105.115,0.0195572,99.3817
18,105.195,0.0188341,99.39
19,105.14,0.0221267,99.3683
20,105.147,0.0240868,99.265
21,105.103,0.0158661,99.5333
22,105.104,0.0161742,99.5233
23,105.137,0.0185206,99.42
24,105.129,0.0207189,99.4117
25,105.214,0.0183636,99.4567
26,105.168,0.0203623,99.4233
27,105.196,0.013064,99.6383
28,105.184,0.0168004,99.5267
29,105.223,0.017214,99.5317
30,105.163,0.0197928,99.4733
31,105.177,0.0147379,99.5917
32,105.152,0.011311,99.66
33,105.325,0.0163919,99.585
34,105.504,0.0179978,99.5033
35,105.521,0.018765,99.4917
36,105.415,0.0210819,99.4633
37,105.592,0.015573,99.6133
38,105.524,0.0204466,99.5233
39,106.133,0.0192219,99.4917
40,105.964,0.0158065,99.5983
41,105.892,0.0235701,99.4233
42,105.955,0.0117401,99.72
43,106.329,0.00765452,99.7833
44,106.592,0.00980237,99.74
45,106.789,0.00814245,99.7517
46,107.092,0.0194177,99.5333
47,107.094,0.0188494,99.5383
48,106.689,0.0120462,99.7067
49,107.691,0.0139114,99.6483
50,107.391,0.0194734,99.5917
