Epoch,Time (seconds),Loss,Accuracy
1,14.4769,1.54321,60.37
2,14.2835,0.75226,79.7267
3,14.3415,0.61821,81.52
4,14.3456,0.566141,82.385
5,14.3357,0.536219,82.9117
6,14.3376,0.515909,83.3733
7,14.3358,0.499676,83.7967
8,14.3404,0.486414,84.0583
9,14.3341,0.474668,84.3883
10,14.3427,0.464555,84.6167
11,14.3399,0.455366,84.8233
12,14.347,0.446788,85.06
13,14.3432,0.439054,85.2317
14,14.3409,0.431322,85.395
15,14.3484,0.424438,85.5083
16,14.3525,0.41822,85.645
17,14.3337,0.411919,85.8717
18,14.3339,0.40608,85.9833
19,14.3336,0.400614,86.1
20,14.3502,0.394889,86.185
